Agency,Station Name,Line,Artist,Art Title,Art Date,Art Material,Art Image Link
NYCT,Fordham Rd,4,Moses Ros,Patriasana; Wholesomeland,2005,Faceted/ laminated glass,https://new.mta.info/agency/arts-design/collection/patriasana-wholesomeland
NYCT,116 St,6,Robert Blackburn,In Everything There Is A Season,2005,Glass mosaics,https://new.mta.info/agency/arts-design/collection/in-everything-there-is-a-season
LIRR,Hempstead,Hempstead,Ron Baron,Lost and Found: An Excavation Project,2005,Cast bronze,https://new.mta.info/agency/arts-design/collection/lost-and-found
NYCT,DeKalb Av,B;Q;R,Stephen Johnson,DeKalb Improvisation,2005,Glass mosaic,https://new.mta.info/agency/arts-design/collection/dekalb-improvisation
NYCT,Times Sq-42 St,1;2;3;N;Q;R;W;S,Toby Buonagurio,Times Square Times: 35 Times,2005,Glazed Ceramic; Lighting Elements,https://new.mta.info/agency/arts-design/collection/times-square-times-35-times
NYCT,W 8 St-NY Aquarium,F; Q,Vito Acconci (Acconci Studio in collaboration with Daniel Frankfurt),Wavewall,2005,Steel; ceramic tile; granite; fiberglass,https://new.mta.info/agency/arts-design/collection/wavewall
NYCT,Mt Eden Av,4,Amir Bey,The Procession of Folk #3,2006,faceted glass,https://new.mta.info/agency/arts-design/collection/the-procession-of-folk-3
NYCT,Gun Hill Rd,2;5,Andrea Arroyo,My Sun (Mi Sol); My Planet (Mi Planeta) and My City (Mi Ciudad),2006,Faceted glass in platform windscreen,https://new.mta.info/agency/arts-design/collection/my-sun-mi-sol
NYCT,Bedford Park Blvd-Lehman College,4,Andrea Dezsš,Community Garden,2006,Glass Mosaic,https://new.mta.info/agency/arts-design/collection/community-garden
NYCT,Burke Av,2;5,BŽatrice Coron,Bronx Literature,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/bronx-literature
NYCT,Myrtle-Wyckoff Avs,L;M,Cadence Giersbach,From Earth to Sky,2006,Ceramic; glass; and marble mosaic,https://new.mta.info/agency/arts-design/collection/from-earth-to-sky
NYCT,Bronx Park East,2; 5,Candida Alvarez,B is for Birds in the Bronx,2006,Faceted glass in platform windscreens,https://new.mta.info/agency/arts-design/collection/b-is-for-birds-in-the-bronx
Metro-North,Riverdale,Hudson,Dennis Oppenheim,Rising and Setting,2006,Perforated painted steel sculpture,https://new.mta.info/agency/arts-design/collection/rising-and-setting
NYCT,170 St,4,Dina Bursztyn,Views from Above,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/view-from-above
NYCT,219 St,2;5,Joseph D'Alesandro,Homage,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/homage
NYCT,176 St,4,Juan S‡nchez,Reaching Out For Each Other,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/reaching-out-for-each-other
NYCT,Allerton Av,2;5,Michele Brody,Allerton Mandalas,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/allerton-mandalas
NYCT,225 St,2;5,Nicky Enright,Universal City,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/universal-city
NYCT,Nereid Av,2;5,Noel Copeland,Leaf of Life,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/leaf-of-life
NYCT,Flushing Av,J;M,Robin Holder,Migration,2006,Laminated glass,https://new.mta.info/agency/arts-design/collection/migration-holder-flushing
NYCT,233 St,2;5,Skowmon Hastanan,A Secret Garden: There's No Place Like Home,2006,Faceted glass,https://new.mta.info/agency/arts-design/collection/a-secret-garden
NYCT,Van Siclen Av,J;Z,Barbara Ellmann,The View From Here,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/the-view-from-here
NYCT,167 St,4,Carol Sun,A Bronx Reflection,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/a-bronx-reflection
NYCT,Freeman St,2;5,Daniel Hauben,The El,2007,Faceted glass,https://new.mta.info/agency/arts-design/collection/the-el
NYCT,New Lots Av,L,Eugenie Tung,16 Windows,2007,Fused Glass,https://new.mta.info/agency/arts-design/collection/16-windows
NYCT,Kingsbridge Rd,4,Mario M. Muller,Urban Motif,2007,Laminated Glass,https://new.mta.info/agency/arts-design/collection/urban-motif
NYCT,E 105 St,L,Michael Ingui,Crescendo,2007,Laminated glass,https://new.mta.info/agency/arts-design/collection/crescendo
Metro-North,Dobbs Ferry,Hudson Line,Nancy Blum,Floating Auriculas,2007,Glass mosaic,https://new.mta.info/agency/arts-design/collection/floating-auriculas
NYCT,Livonia Av,L,Philemona Williamson,Seasons,2007,Fused Glass,https://new.mta.info/agency/arts-design/collection/seasons
